en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	962	What I say and what I'll say.	What I say and what I 'll say . <EOS>	BAD BAD BAD BAD BAD BAD BAD BAD OK OK
he-en	gold	963	All respect and admiration to Nick Cave, all contempt and shame to those who voted for the parties in the current government.	All respect and admiration to Nick Cave , all contempt and shame to those who voted for the parties in the current government . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	964	Once again the Turks... will rejoice in the name of Ahmed and his Turkish-Nazi leader Erdogan.	Once again the Turks ... will rejoice in the name of Ahmed and his Turkish-Nazi leader Erdogan . <EOS>	OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK
he-en	gold	965	Jews, Israelis, stop visiting this filthy country.	Jews , Israelis , stop visiting this filthy country . <EOS>	OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	966	Ahmed's right, of course.	Ahmed 's right , of course . <EOS>	BAD OK OK OK OK OK OK OK
he-en	gold	967	Nick Cave - part of the unconscious Ashkenazi hierarchy	Nick Cave - part of the unconscious Ashkenazi hierarchy <EOS>	OK OK OK OK OK OK OK OK BAD OK
he-en	gold	968	Show me a guy named Nick Calhoun who listens to his songs.	Show me a guy named Nick Calhoun who listens to his songs . <EOS>	OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK
he-en	gold	969	I'm in the clouds that Ashmaday's selling furniture is back to being the driver of the crazy woman he married and cheated on.	I 'm in the clouds that Ashmaday 's selling furniture is back to being the driver of the crazy woman he married and cheated on . <EOS>	OK OK BAD BAD BAD OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	970	Good for you.	Good for you . <EOS>	BAD BAD BAD OK OK
he-en	gold	971	What did you think would happen? Now everything will be turned against Israel as against Russia.	What did you think would happen ? Now everything will be turned against Israel as against Russia . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
he-en	gold	972	Keep buying products from Turkey. I've been importing this country for years.	Keep buying products from Turkey . I 've been importing this country for years . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK
he-en	gold	973	We have nothing to look for there even free hotels.	We have nothing to look for there even free hotels . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	974	One of the problems with Palestinian propaganda is the perversion of justice and human cruelty to all that is true.	One of the problems with Palestinian propaganda is the perversion of justice and human cruelty to all that is true . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK
he-en	gold	975	The comparison between the struggle of a small people in a bubbling state to survive in the jungle of violent and murderous civilizations that have devastated the entire Middle East (and only we, thank God, survive), and the invasion of the world's largest state army into the largest country in Europe, without provocation, just to establish power and international standing... who here has decayed morality?	The comparison between the struggle of a small people in a bubbling state to survive in the jungle of violent and murderous civilizations that have devastated the entire Middle East ( and only we , thank God , survive ) , and the invasion of the world 's largest state army into the largest country in Europe , without provocation , just to establish power and international standing ... who here has decayed morality ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK
he-en	gold	976	"I'm no longer talking about the ""Palestinian suffering"" and ""horrors"" they're going through here - all this rhetorical nonsense that steals attention from those who are really suffering in the world... Ahmed is the representative of absolute evil pretending to be just the opposite."	"I 'm no longer talking about the "" Palestinian suffering "" and "" horrors "" they 're going through here - all this rhetorical nonsense that steals attention from those who are really suffering in the world ... Ahmed is the representative of absolute evil pretending to be just the opposite . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	977	Intelligent, critical people who know how to analyze reality correctly are the leaders this generation needs especially in the West.	Intelligent , critical people who know how to analyze reality correctly are the leaders this generation needs especially in the West . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	978	A man came out, only a pity that he doesn't understand politics any more, it was a response to the anti-Semitic Arabs (because their hatred has nothing to do with Palestinians) that Hamas is the nice one who ruins the lives of the enlightened Palestinian people who continue to choose terrorism, choose and cry their problem!!!	A man came out , only a pity that he doesn 't understand politics any more , it was a response to the anti-Semitic Arabs ( because their hatred has nothing to do with Palestinians ) that Hamas is the nice one who ruins the lives of the enlightened Palestinian people who continue to choose terrorism , choose and cry their problem ! ! ! <EOS>	BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK BAD OK OK BAD BAD BAD BAD OK OK OK BAD OK OK OK OK OK BAD OK OK OK BAD OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK
he-en	gold	979	I was at his great show in the country a few years ago loves Israel breathe a huge bread	I was at his great show in the country a few years ago loves Israel breathe a huge bread <EOS>	BAD OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK BAD BAD BAD BAD OK
he-en	gold	980	It's time to wake up the dreamers to their dreams, and we better start with our leftists.	It 's time to wake up the dreamers to their dreams , and we better start with our leftists . <EOS>	BAD OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK OK
he-en	gold	981	"Shame on your paper - the Turkish ""fan"" is a funded demagogue who also gets published in your newspaper"	"Shame on your paper - the Turkish "" fan "" is a funded demagogue who also gets published in your newspaper <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	982	We need to rob the Turks. What about the Kurds they're drowning in?	We need to rob the Turks . What about the Kurds they 're drowning in ? <EOS>	OK OK OK BAD OK BAD OK OK OK OK OK BAD BAD BAD BAD BAD BAD
he-en	gold	983	"There has never been a ""Palestinian"" in the history of the world so they are the invaders of Israel. They were all Jordanian citizens who also moved to live in Israel over the last 200 years but most moved after the state came from neighboring Arab countries because of work and economic constraints."	"There has never been a "" Palestinian "" in the history of the world so they are the invaders of Israel . They were all Jordanian citizens who also moved to live in Israel over the last 200 years but most moved after the state came from neighboring Arab countries because of work and economic constraints . <EOS>"	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	984	Turquoise Satan is supporting Adolf Erdoğan	Turquoise Satan is supporting Adolf Erdoğan <EOS>	BAD BAD BAD OK OK OK OK
he-en	gold	985	We love you Nick!!! Come again!!!	We love you Nick ! ! ! Come again ! ! ! <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	986	Palestinians - Muslim migrant workers who expected Israel to look for work with Jews who had begun to develop the country.	Palestinians - Muslim migrant workers who expected Israel to look for work with Jews who had begun to develop the country . <EOS>	OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	987	There are Palestinians all over Europe and the demand to make it Palestine will come in a few years.	There are Palestinians all over Europe and the demand to make it Palestine will come in a few years . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	988	There's a place to cancel a show in Turkey specifically, both because of the Armenian massacre, and the Kurdish slaughter, as well as the occupation of part of Cyprus, so, a Turkish with butter on his head, not going to Nick Cave.	There 's a place to cancel a show in Turkey specifically , both because of the Armenian massacre , and the Kurdish slaughter , as well as the occupation of part of Cyprus , so , a Turkish with butter on his head , not going to Nick Cave . <EOS>	OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK BAD BAD OK OK OK OK OK
he-en	gold	989	Turkey, whose country occupies northern Cyprus and Idlib province in Syria.	Turkey , whose country occupies northern Cyprus and Idlib province in Syria . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	990	The fictitious nation does suffer from a brutal regime -- in Gaza, Hamas, and in the West Bank, Abu Mazen.	The fictitious nation does suffer from a brutal regime -- in Gaza , Hamas , and in the West Bank , Abu Mazen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	991	It's interesting that he doesn't mention Assad, Iran, the Houthis, Hamas and Hezbollah who are ruining the lives of the people.	It 's interesting that he doesn 't mention Assad , Iran , the Houthis , Hamas and Hezbollah who are ruining the lives of the people . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
he-en	gold	992	We need a $3.4 billion class-action lawsuit to get them back.	We need a $ 3.4 billion class-action lawsuit to get them back . <EOS>	OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK
he-en	gold	993	It's just that we're exposed. Invitation invitation. Also inside the house.	It 's just that we 're exposed . Invitation invitation . Also inside the house . <EOS>	BAD BAD BAD BAD OK OK OK OK BAD BAD OK OK OK OK OK OK BAD
he-en	gold	994	It's a shame how low we're able to go as a society.	It 's a shame how low we 're able to go as a society . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	995	How the wheel spins	How the wheel spins <EOS>	BAD BAD BAD BAD OK
he-en	gold	996	Now where will we see them?	Now where will we see them ? <EOS>	BAD BAD BAD BAD BAD BAD OK OK
he-en	gold	997	What about the electrical malfunction?	What about the electrical malfunction ? <EOS>	BAD OK OK BAD BAD OK OK
he-en	gold	998	It's all because of the corrupt mullahs	It 's all because of the corrupt mullahs <EOS>	OK OK OK OK OK OK OK BAD OK
he-en	gold	999	Enough with this illusion of privacy.	Enough with this illusion of privacy . <EOS>	OK OK OK OK OK OK OK OK
he-en	gold	1000	Route 6 and 6 North are behaving like an Italian mafia. Time will come when they'll get in there and make a flip and drive most of them home a bunch of pigs.	Route 6 and 6 North are behaving like an Italian mafia . Time will come when they 'll get in there and make a flip and drive most of them home a bunch of pigs . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK
he-en	gold	1001	The new war is information security, and like all wars, there are losers and winners.	The new war is information security , and like all wars , there are losers and winners . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD OK OK
he-en	gold	1002	What about ordinary citizens who are not part of society???	What about ordinary citizens who are not part of society ? ? ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1003	Yellow fever takes over Israel Today - the same chilling headlines as its competitors	Yellow fever takes over Israel Today - the same chilling headlines as its competitors <EOS>	BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1004	The yellow ones are long gone. Too bad. It was nice, but not anymore.	The yellow ones are long gone . Too bad . It was nice , but not anymore . <EOS>	BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK BAD
he-en	gold	1005	A huge mistake and the cow's out with it what we're gonna do!	A huge mistake and the cow 's out with it what we 're gonna do ! <EOS>	OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK
he-en	gold	1006	Why don't they protect the information about us, why!?	Why don 't they protect the information about us , why ! ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1007	How do you prepare for a class action lawsuit???	How do you prepare for a class action lawsuit ? ? ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1008	A country on the brink of disgrace.	A country on the brink of disgrace . <EOS>	BAD BAD BAD BAD BAD BAD BAD OK OK
he-en	gold	1009	Pay for the most unnecessary Route 6 there is!!!	Pay for the most unnecessary Route 6 there is ! ! ! <EOS>	BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK
he-en	gold	1010	Watch out for them!!!	Watch out for them ! ! ! <EOS>	OK OK OK OK OK OK OK OK
he-en	gold	1011	It's always an Arab worker who steals the database and sends it to some hacker friend in Indonesia to share in the blackmail profits.	It 's always an Arab worker who steals the database and sends it to some hacker friend in Indonesia to share in the blackmail profits . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1012	The stinking Arab is being quietly fired with no one to notice and no punishment, and the next case is just around the corner.	The stinking Arab is being quietly fired with no one to notice and no punishment , and the next case is just around the corner . <EOS>	OK BAD OK OK BAD OK OK BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1013	When will you learn not to hire Arabs...	When will you learn not to hire Arabs ... <EOS>	OK OK OK OK OK OK OK OK OK OK
he-en	gold	1014	Maybe they don't send invoices and after a while they just send a ticket, and tell the customer we sent a bill and blame the mail for it not coming. And then they tell you to subscribe so you don 't forget to pay because we'll have credit card information, so they do a subscription and then someone hacks into their lousy system and steals details. Something is totally fucked up there and nobody checks them.	Maybe they don 't send invoices and after a while they just send a ticket , and tell the customer we sent a bill and blame the mail for it not coming . And then they tell you to subscribe so you don ' t forget to pay because we 'll have credit card information , so they do a subscription and then someone hacks into their lousy system and steals details . Something is totally fucked up there and nobody checks them . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
he-en	gold	1015	Do we get a refund?	Do we get a refund ? <EOS>	OK OK OK OK OK OK OK
he-en	gold	1016	"As a software engineer, who also deals with information security and IT security tools, the level of service providers' naughtiness and embarrassment is simply frightening, hitting a new low every two days or so. Whenever an organization loses its pants and panties in public, all the ""experts"" immediately take advantage of it to make a serious, worried face, and announce that they need to double their security budget, instead of fixing the repair that needs to be done -- and usually throw out monstrous amounts of code and software and the worst tools -- including complicated and unnecessary cloud services, as well as laying themselves off, because they didn't cause any of the damage."	"As a software engineer , who also deals with information security and IT security tools , the level of service providers ' naughtiness and embarrassment is simply frightening , hitting a new low every two days or so . Whenever an organization loses its pants and panties in public , all the "" experts "" immediately take advantage of it to make a serious , worried face , and announce that they need to double their security budget , instead of fixing the repair that needs to be done -- and usually throw out monstrous amounts of code and software and the worst tools -- including complicated and unnecessary cloud services , as well as laying themselves off , because they didn 't cause any of the damage . <EOS>"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK BAD
he-en	gold	1017	I think it's only going to come out of the pocket. If customers who've been hurt, take a six-count lawsuit and get -- even 30 bucks for every subscriber whose details have been stolen (yes, I also mean Shirebit customers, and every other service that has been hacked) then after one or two bankruptcies -- company executives will start taking seriously their fucked-up, broken information systems.	I think it 's only going to come out of the pocket . If customers who 've been hurt , take a six-count lawsuit and get -- even 30 bucks for every subscriber whose details have been stolen ( yes , I also mean Shirebit customers , and every other service that has been hacked ) then after one or two bankruptcies -- company executives will start taking seriously their fucked-up , broken information systems . <EOS>	OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK BAD BAD BAD BAD BAD OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1018	All respect to the police. It is from the funeral that we want to see more. Not because of the violence but for the consequences.	All respect to the police . It is from the funeral that we want to see more . Not because of the violence but for the consequences . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK BAD
he-en	gold	1019	Widespread operation authorized by who?	Widespread operation authorized by who ? <EOS>	BAD OK OK OK OK OK OK
he-en	gold	1020	We live by their whistle, afraid to celebrate our holidays.	We live by their whistle , afraid to celebrate our holidays . <EOS>	BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK
he-en	gold	1021	There's no choice but to launch a massive, violent and difficult operation.	There 's no choice but to launch a massive , violent and difficult operation . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1022	hallucination	hallucination	hallucination
he-en	gold	1023	I say this with a heavy heart, but we don't really have a choice, because we're not fighting here in front of kids with barks.	I say this with a heavy heart , but we don 't really have a choice , because we 're not fighting here in front of kids with barks . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK
he-en	gold	1024	hallucination	hallucination	hallucination
he-en	gold	1025	There are hundreds of thousands of psychopaths here who just want to destroy us and would be happy to pull the trigger and commit genocide by any other means at their disposal.	There are hundreds of thousands of psychopaths here who just want to destroy us and would be happy to pull the trigger and commit genocide by any other means at their disposal . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1026	We have to tear down all the big buildings, take out all their infrastructure, cut off their water and electricity.	We have to tear down all the big buildings , take out all their infrastructure , cut off their water and electricity . <EOS>	OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1027	Slowly, even their people will rise up against them because there is a limit to how much they can control people.	Slowly , even their people will rise up against them because there is a limit to how much they can control people . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1028	Between the rotten traitor Benet and Fidel, the crumbling post-Zionists are now adding to their Palestinian government, and along with Hamas activists they are also selling the representatives of Palestine's terrorists from the Joint List! That is, Israel is already entirely run by Palestinians working to destroy it!! and accordingly, Fide announced this week that from now on he and the treacherous Bet will use the joint list to save their government and that together with the Shura Council and R.E.M. of the Muslim Brotherhood they will continue to eliminate the state!! the sale of The Negev and now the selling of Harar to the Syrian and Iraqi terrorist councils, by law and our Arab aid budgets would be up to 53 billion in addition to what we received in the past and five billion more in total income from terrorism, which, according to him, would	Between the rotten traitor Benet and Fidel , the crumbling post-Zionists are now adding to their Palestinian government , and along with Hamas activists they are also selling the representatives of Palestine 's terrorists from the Joint List ! That is , Israel is already entirely run by Palestinians working to destroy it ! ! and accordingly , Fide announced this week that from now on he and the treacherous Bet will use the joint list to save their government and that together with the Shura Council and R.E.M. of the Muslim Brotherhood they will continue to eliminate the state ! ! the sale of The Negev and now the selling of Harar to the Syrian and Iraqi terrorist councils , by law and our Arab aid budgets would be up to 53 billion in addition to what we received in the past and five billion more in total income from terrorism , which , according to him , would <EOS>	BAD OK OK OK BAD OK BAD OK BAD BAD BAD OK OK OK OK OK OK OK OK OK BAD OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK BAD OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD
he-en	gold	1029	What danger to democracy exactly is there on the right?	What danger to democracy exactly is there on the right ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK BAD
he-en	gold	1030	It's time to stop pushing the word fearful into every article or headline or opening of every issue on television.	It 's time to stop pushing the word fearful into every article or headline or opening of every issue on television . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK
he-en	gold	1031	Who's scared?	Who 's scared ? <EOS>	OK OK OK OK OK
he-en	gold	1032	A good heart fails not only when he speaks, but also when it acts or rather does not act.	A good heart fails not only when he speaks , but also when it acts or rather does not act . <EOS>	BAD BAD BAD OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK
he-en	gold	1033	He doesn't have the understanding that in a situation as delicate as a halo, he needs to be on it in real time. Or he has the realization that it will only interfere more and so he shies away from responsibility and then goes back to blaming the one who did it, to take the blame off him. He also turns out stupid, like Ehud Barak with all the nerve he had, when acting in the sunlight turned out foolish.	He doesn 't have the understanding that in a situation as delicate as a halo , he needs to be on it in real time . Or he has the realization that it will only interfere more and so he shies away from responsibility and then goes back to blaming the one who did it , to take the blame off him . He also turns out stupid , like Ehud Barak with all the nerve he had , when acting in the sunlight turned out foolish . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK OK
he-en	gold	1034	But the goal is to clean up Janin after years of purple dirt neglecting the situation there.	But the goal is to clean up Janin after years of purple dirt neglecting the situation there . <EOS>	BAD OK OK OK OK OK OK BAD OK OK OK BAD BAD OK OK OK OK OK OK
he-en	gold	1035	I pray that the government of Persia and your enemies will leave you.	I pray that the government of Persia and your enemies will leave you . <EOS>	OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD
he-en	gold	1036	Get up there.	Get up there . <EOS>	OK OK OK OK OK
he-en	gold	1037	The refreshing crook is unable and unwilling to cope with the reality. The Arab and Islamist who is being shamed is a despicable and shameful man who has done terrible damage in his few months of rule here to Zionism, to settlements and to the resistance of the IDF.	The refreshing crook is unable and unwilling to cope with the reality . The Arab and Islamist who is being shamed is a despicable and shameful man who has done terrible damage in his few months of rule here to Zionism , to settlements and to the resistance of the IDF . <EOS>	OK BAD BAD OK OK OK BAD OK OK OK BAD OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1038	Why is a big wall-style operation better than a Pincet operation? A big operation has a better chance of getting into trouble. We need to start by closing the breaches in the fence, and taking care of the seawall, which will also put our troops at much less risk.	Why is a big wall-style operation better than a Pincet operation ? A big operation has a better chance of getting into trouble . We need to start by closing the breaches in the fence , and taking care of the seawall , which will also put our troops at much less risk . <EOS>	OK OK OK OK BAD OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1039	In the very near future it will be possible to see the achievements made by Ba'ath Party in the talks she held with the replacement Prime Minister Yair Lapid within the framework of the conditions she set for her staying in coalition!!	In the very near future it will be possible to see the achievements made by Ba 'ath Party in the talks she held with the replacement Prime Minister Yair Lapid within the framework of the conditions she set for her staying in coalition ! ! <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK BAD OK OK OK BAD BAD BAD OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK BAD OK BAD
he-en	gold	1040	It's true that the world is busy in Ukraine but when the story there is over Europe and the United States will impose sanctions on us too.	It 's true that the world is busy in Ukraine but when the story there is over Europe and the United States will impose sanctions on us too . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD
he-en	gold	1041	Yoav Lemor the fool you propose to belittle and behave like a daughter of the answer. Fool already said did we? A herd of donkeys do not understand the language of speech and only force and shots are beauty beauty will understand.	Yoav Lemor the fool you propose to belittle and behave like a daughter of the answer . Fool already said did we ? A herd of donkeys do not understand the language of speech and only force and shots are beauty beauty will understand . <EOS>	OK BAD OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK
he-en	gold	1042	Who will give the order and approve?!	Who will give the order and approve ? ! <EOS>	OK OK BAD BAD BAD OK OK OK OK OK
he-en	gold	1043	Council of Assyria???!!	Council of Assyria ? ? ? ! ! <EOS>	BAD BAD BAD OK OK OK OK OK OK
he-en	gold	1044	Bennet, you're dead already!	Bennet , you 're dead already ! <EOS>	BAD OK BAD BAD BAD BAD OK OK
he-en	gold	1045	The reason for the Palestinian riots is the sloppy treatment of the police, they know that any police violence will lead to committees of inquiry and investigation and that is why they are celebrating.	The reason for the Palestinian riots is the sloppy treatment of the police , they know that any police violence will lead to committees of inquiry and investigation and that is why they are celebrating . <EOS>	OK OK OK OK OK OK OK OK BAD OK BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK BAD
he-en	gold	1046	I've proposed action in Jenin in the form of a retaining wall. The esteemed Shura Council will meet next week and email its decision.	I 've proposed action in Jenin in the form of a retaining wall . The esteemed Shura Council will meet next week and email its decision . <EOS>	OK OK OK BAD OK OK BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
he-en	gold	1047	I understand Jerusalem Day has been canceled.	I understand Jerusalem Day has been canceled . <EOS>	OK OK OK OK OK OK OK OK OK
he-en	gold	1048	Baby-sitters praise smugglers both for not caring about national security and for putting the law on the line and therefore supporting a serial killer.	Baby-sitters praise smugglers both for not caring about national security and for putting the law on the line and therefore supporting a serial killer . <EOS>	BAD BAD BAD OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK BAD OK OK
he-en	gold	1049	Only the lycanthrope can whine.	Only the lycanthrope can whine . <EOS>	BAD BAD BAD BAD BAD BAD BAD
he-en	gold	1050	hallucination	hallucination	hallucination
he-en	gold	1051	Because they want praise for cheap labor for the economy because not everyone here is high-tech or a manager, so prices don't go up any more than they are right now.	Because they want praise for cheap labor for the economy because not everyone here is high-tech or a manager , so prices don 't go up any more than they are right now . <EOS>	OK OK OK BAD OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
